INSERT INTO `genshin_farming_002`.`personnages_objets_monstres` 
(`id_personnage`, `id_objet_monstre`)
VALUES
(1,12),
(2,18),
(3,3),
(4,9),
(5,6),
(6,3),
(7,18),
(8,6),
(9,15),
(10,12),
(11,18),
(12,6),
(13,6),
(14,21),
(15,6),
(16,15),
(17,9),
(18,21),
(19,21),
(20,3),
(21,9),
(22,12),
(23,15),
(24,18),
(25,3),
(26,9),
(27,21),
(28,3),
(29,21),
(30,15),
(31,18),
(32,6),
(33,15),
(34,24),
(35,21),
(36,9),
(37,27),
(38,6),
(39,24),
(40,27),
(41,18),
(42,27),
(43,3),
(44,6),
(45,21),
(46,27),
(47,27),
(48,15),
(49,27),
(50,18),
(51,12),
(52,30),
(53,33),
(54,33),
(55,9),
(56,30),
(57,30),
(58,9),
(59,33),
(60,24),
(61,3),
(62,33),
(63,33),
(64,15),
(65,30),
(66,30),
(67,27),
(68,39),
(69,15),
(70,3),
(71,3),
(72,39),
(73,39),
(74,21),
(75,3),
(76,39),
(77,3),
(78,9),
(79,27),
(80,15),
(81,33),
(82,3),
(83,3),
(84,39),
(85,45),
(86,45),
(87,42),
(88,45),
(89,42),
(90,42),
(91,42),
(92,45),
(93,21),
(94,24);
